Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Nina,Karlsen,Thorsenvika 4,Helland,0338,Norge,NO,19771009-6111,+47,68082798,1977-10-09,True
Petteri,Koskinen,Agricolanbulevardi 40,Kärsämäki,63730,Finland,FI,19581228-598R,+358,0632226966,1958-12-28,True
Julie,Myklebust,Bergefaret 047,Jonasstrand,4465,Norge,NO,19690918-9561,+47,82 07 14 24,1969-09-18,True
David,Bell,Lindsay Trace 3070,Whiteheadside,05722,Danmark,DK,19490424-7920,+45,(741)562-4836x127,1949-04-24,True
Robert,Thomas,Anthony Place 056,North Tamarachester,24088,Danmark,DK,19991008-5646,+45,843-533-2978,1999-10-08,True
Axel,Lindberg,Bäckgatan 1,Östersund,32921,Sverige,SE,19721207-6986,+46,+46 (0)8 057 647 81,1972-12-07,True
Nils,Nilsson,Åkergatan 71,Sandviken,28247,Sverige,SE,19890226-7015,+46,08-642 146 89,1989-02-26,True
Hans,Håkansson,Furugatan 90,Trelleborg,15401,Sverige,SE,19600628-8611,+46,+46 (0)76 51 07 88,1960-06-28,True
Solveig,Rasmussen,Andreassenåsen 8,Sisselhavn,8201,Norge,NO,19580211-3293,+47,96226009,1958-02-11,True
Anders,Bøe,Martinsenringen 42,Aas,7456,Norge,NO,19750818-5675,+47,41424871,1975-08-18,True
Astrid,Fredriksen,Nygårdengen 2,Helenestrøm,0833,Norge,NO,19890123-1987,+47,+47 38 36 39 69,1989-01-23,True
Leo,Juntunen,Caloniuksenkatu 170,Sievi,05187,Finland,FI,19461211-554V,+358,098 015 6087,1946-12-11,True
Inger,Karlsson,Ektorget 52,Trelleborg,95862,Sverige,SE,19890331-2671,+46,0309-640 79,1989-03-31,True
Stephanie,Hardy,Dixon Ports 540,West Douglashaven,47171,Danmark,DK,19620609-4150,+45,560.658.6428x242,1962-06-09,True
Birgitta,Lundberg,Ekvägen 208,Varberg,80207,Sverige,SE,19860516-7028,+46,+46 (0)616 277 04,1986-05-16,True
Lennart,Nilsson,Fabrikstorget 592,Borlänge,51988,Sverige,SE,19770208-2474,+46,08-402 06 72,1977-02-08,True
Lovisa,Lindberg,Bäckgränd 89,Norrköping,19192,Sverige,SE,19730528-5305,+46,035-474 73 80,1973-05-28,True
Åke,Johansson,Trädgårdsstigen 828,Sundsvall,65713,Sverige,SE,19880610-5982,+46,+46 (0)8 995 624 40,1988-06-10,True
Jan,Karlsson,Ringgatan 37,Skellefteå,75645,Sverige,SE,19490517-7890,+46,+46 (0)50 36 00 24,1949-05-17,True
Ole,Madsen,Næsslyngen 1,Lailavåg,1709,Norge,NO,19800712-7147,+47,49587486,1980-07-12,True
Lassi,Salminen,Sapilaspolku 92,Karkkila,38683,Finland,FI,19460206-4454,+358,+358 418462572,1946-02-06,True
Aaron,Jackson,Lisa Bridge 350,Port Samantha,02967,Danmark,DK,19560923-3098,+45,001-525-360-0963x5164,1956-09-23,True
James,Fletcher,Paul Fords 94568,Lake Andrewshire,69661,Danmark,DK,19830412-1136,+45,341-463-9326x388,1983-04-12,True
Göran,Olsson,Ektorget 84,Karlstad,40171,Sverige,SE,19800916-7036,+46,08-645 801 55,1980-09-16,True
Ragnar,Lund,Åkergatan 055,Linköping,66402,Sverige,SE,19710809-7750,+46,0664-217 73,1971-08-09,True
Michael,Hall,Riddle Union 6498,Howellberg,58033,Danmark,DK,19640322-4243,+45,001-969-968-0282x0589,1964-03-22,True
Maria,Bakke,Iversenvollen 6,Camillasjøen,0914,Norge,NO,20000601-8092,+47,55 28 57 63,2000-06-01,True
Karl,Andersson,Kvarngatan 069,Varberg,19224,Sverige,SE,19581005-3559,+46,08-242 557 24,1958-10-05,True
Annika,Johansson,Nygränd 0,Luleå,43688,Sverige,SE,19550727-8397,+46,085-442 05 65,1955-07-27,True
Johan,Larsson,Storstigen 09,Sandviken,36898,Sverige,SE,19421208-3585,+46,+46 (0)962 072 58,1942-12-08,True
Elisabet,Nilsson,Ängsstigen 813,Jönköping,83962,Sverige,SE,19930130-5846,+46,08-42 79 11,1993-01-30,True
Maria,Ström,Kvarnvägen 8,Västerås,32114,Sverige,SE,19900731-8125,+46,+46 (0)8 321 241 47,1990-07-31,True
Marte,Kristoffersen,Johnsenkollen 677,Juliebø,2709,Norge,NO,19701030-4274,+47,86321815,1970-10-30,True
Annikki,Taipale,Fagottibulevardi 01,Merikarvia,41946,Finland,FI,19910822-460E,+358,+358 488448409,1991-08-22,True
Michael,Kidd,Angela Junctions 7706,Wesleyfort,23459,Danmark,DK,19680725-8251,+45,501.983.5601x0894,1968-07-25,True
Sofia,Nygren,Trädgårdsgatan 4,Mölndal,93951,Sverige,SE,19921129-1261,+46,0802-49 46 75,1992-11-29,True
Hans,Andersson,Parktorget 05,Lidköping,57146,Sverige,SE,19410113-5869,+46,08-092 299 81,1941-01-13,True
Mats,Mattsson,Backvägen 2,Uddevalla,12140,Sverige,SE,19921121-8547,+46,084-155 69 83,1992-11-21,True
Nina,Gulbrandsen,Næssmarka 5A,Reidunstrøm,5604,Norge,NO,19650124-2159,+47,57 33 33 79,1965-01-24,True
Bengt,Larsson,Idrottsgatan 79,Lund,63974,Sverige,SE,19980220-3192,+46,000-081 44 43,1998-02-20,True
Cindy,Mckinney,Williams Island 66937,Amyborough,35105,Danmark,DK,19911109-2828,+45,(396)560-6268x57796,1991-11-09,True
Elisabet,Wikström,Skolvägen 773,Sundsvall,46052,Sverige,SE,19460805-3171,+46,+46 (0)8 759 904 37,1946-08-05,True
Thomas,Antonsen,Bergemyra 87,Sivertsen,4860,Norge,NO,19570714-6357,+47,46035868,1957-07-14,True
Ingegerd,Nyberg,Gentorget 1,Helsingborg,13078,Sverige,SE,19560110-9152,+46,08-97 78 90,1956-01-10,True
George,Jackson,Richard Keys 7825,Cummingsmouth,11096,Danmark,DK,19840627-0240,+45,+1-257-707-8750,1984-06-27,True
Jens,Fredriksen,Nygårdhøgda 2,Henriksjøen,2432,Norge,NO,19550205-0188,+47,93691949,1955-02-05,True
Inga,Fransson,Furugränd 6,Karlskrona,17098,Sverige,SE,19690222-1325,+46,08-05 68 64,1969-02-22,True
Maria,Sundqvist,Björkgatan 1,Borlänge,46278,Sverige,SE,19761118-2398,+46,0841-79 80 83,1976-11-18,True
Anita,Höglund,Industrigränd 472,Örnsköldsvik,44057,Sverige,SE,19940525-8509,+46,+46 (0)25 58 60 76,1994-05-25,True
Hans,Lundmark,Industrivägen 7,Varberg,53281,Sverige,SE,19940424-9483,+46,08-387 31 13,1994-04-24,True
Christina,Lindén,Kyrkvägen 81,Örnsköldsvik,99871,Sverige,SE,19490506-4904,+46,0894-115 75,1949-05-06,True
Jonathan,Thompson,James Pines 92475,North Angela,74562,Danmark,DK,19771130-5649,+45,(543)598-5569,1977-11-30,True
Margareta,Persson,Bäckgatan 2,Landskrona,89327,Sverige,SE,19401114-1834,+46,08-930 436 51,1940-11-14,True
Thomas,Jansson,Industrigränd 9,Landskrona,56464,Sverige,SE,19841008-3508,+46,08-87 44 08,1984-10-08,True
Ulf,Claesson,Björkstigen 08,Södertälje,98377,Sverige,SE,19850116-2216,+46,0014-972 68,1985-01-16,True
Tove,Paulsen,Myhrestubben 79,Nguyen,7834,Norge,NO,19921006-2781,+47,46597697,1992-10-06,True
Ingrid,Persson,Strandgatan 89,Skövde,27555,Sverige,SE,19850205-7363,+46,08-05 82 17,1985-02-05,True
Krista,Fletcher,Young Summit 8378,Richardside,99346,Danmark,DK,19630217-1011,+47,6704107526,1963-02-17,True
Kerstin,Andersson,Kvarnvägen 29,Västerås,38382,Sverige,SE,19870207-4362,+46,08-129 10 19,1987-02-07,True
Reinhold,Nilsson,Parkvägen 732,Eskilstuna,37795,Sverige,SE,19480127-4596,+46,0376-840 04,1948-01-27,True
Marte,Nguyen,Danielsenlyngen 6,Knudsen,3396,Norge,NO,19850531-3777,47,85 03 80 24,1985-05-31,True
Frank,Thomassen,Simonsenhagen 95B,Svendsen,1073,Norge,NO,19930108-7897,+47,935 61 040,1993-01-08,True
Tonje,Nygård,Madsenløkka 6,Jenssen,8657,Norge,NO,19560305-8848,+47,69 65 19 35,1956-03-05,True
Egil,Nygård,Aunemarka 4A,Mikkelsen,8038,Norbe,NO,19710803-3862,+47,973 98 425,1971-08-03,True
Bente,Brekke,Kristoffersenmoen 45,Einarnes,7523,Norge,NO,19750728-1369,+47,924 60 607,1975-07-28,True
Jaclyn,Reese,Joseph Place 325,Andreamouth,30588,Danmark,DK,19630125-4775,+45,255.798.2063x59659,1963-01-25,True
Ingeborg,Edvardsen,Johnsentoppen 3D,Camillaberg,6188,Norge,NO,19620925-6763,+47,30322003,1962-09-25,True
David,Rodriguez,Copeland Divide 2791,Michaeltown,47630,Danmark,DK,19541206-4152,+45,+1-840-855-0556x6384,1954-12-06,True
Ronny,Johansson,Kvarnstigen 2,Piteå,71982,Sverige,SE,20000530-0201,+46,08-936 70 83,2000-05-30,True
Anna,Larsson,Ringtorget 7,Sundsvall,75576,Sverige,SE,19660105-3351,+46,0150-620 72,1966-01-05,True
Crystal,Ford,Santana Way 0712,Ericland,18760,Danmark,DK,19470916-2272,+45,578-816-1123x61124,1947-09-16,True
Linnea,Larsson,Ängsstigen 811,Karlskoga,38018,Sverige,SE,19950225-7509,+46,+46 (0)713 176 90,1995-02-25,True
Patrik,Virtanen,Puusepäntie 66,Brändö,92071,Finland,FI,19920324-1699,+358,+358 548117760,1992-03-24,True
Trond,Knudsen,Johannessenalléen 8,Karlodden,3863,Norge,NO,19860405-5926,+47,409 65 109,1986-04-05,True
Ulf,Kristiansson,Bäckgatan 48,Jönköping,82543,Sverige,SE,19611012-1321,+46,+46 (0)8 313 349 91,1961-10-12,True
Tobias,Ståhl,Backgränd 39,Helsingborg,18344,Sverige,SE,19790122-1789,+46,08-044 490 51,1979-01-22,True
Gunnar,Forsberg,Backgatan 9,Uppsala,25526,Sverige,SE,19940307-5882,+46,0002-018 09,1994-03-07,True
Natasha,Erickson,Lopez Isle 903,North Kevin,29110,Danmark,DK,19770523-8545,+45,487.640.0753,1977-05-23,True
Sara,Tangen,Hauglandgropa 12C,Gretehamn,9801,Norge,NO,19830609-1544,+47,04 85 27 81,1983-06-09,True
Emanuel,Pettersson,Granvägen 94,Halmstad,37388,Sverige,SE,19460105-5344,+46,+46 (0)636 518 79,1946-01-05,True
Lennart,Sjögren,Kvarngatan 0,Sundsvall,50706,Sverige,SE,19500525-6156,+46,+46 (0)651 662 39,1950-05-25,True
Mary,Karlsson,Gengatan 8,Motala,40232,Sverige,SE,19401112-5560,+46,024-478 30 28,1940-11-12,True
Cathrine,Næss,Haugentunet 10C,Haugland,1820,Norge,NO,19500922-1889,+47,42 05 51 64,1950-09-22,True
Patrik,Lindholm,Ekvägen 8,Motala,17308,Sverige,SE,19980804-3288,+46,0975-012 20,1998-08-04,True
Uno,Håkansson,Ringgatan 5,Halmstad,13230,Sverige,SE,19910902-8386,+46,08-473 35 39,1991-09-02,True
Anna,Molin,Nytorget 136,Ängelholm,50905,Sverige,SE,19430622-6155,+46,+46 (0)8 156 234 62,1943-06-22,True
Christian,Arnesen,Haugrøa 452,Tomvær,1390,Norge,NO,20000702-3035,+47,51 59 62 24,2000-07-02,True
Eva,Eriksson,Fabriksgatan 6,Helsingborg,37591,Sverige,SE,19931210-0300,+46,+46 (0)27 38 86 22,1993-12-10,True
Karl,Johansson,Villagränd 928,Umeå,58251,Sverige,SE,19401120-4981,+46,055-63 32 19,1940-11-20,True
John,Hall,Campbell Estate 616,Hillmouth,65612,Donmark,DK,19540414-7510,+45,001-907-756-8861x9311,1954-04-14,True
Heli,Immonen,Vellikellontie 97,Geta,08870,Finland,FI,19530514-337C,+358,076 475 0456,1953-05-14,True
Rachel,Smith,Hines Field 14651,North Shannonfurt,52123,Danmark,DK,19631006-2712,+45,292-611-8772x5651,1963-10-06,True
Riitta,Salonen,Ormusbulevardi 1,Hämeenlinna,80048,Finland,FI,19760101-192T,+358,+358 276854892,1976-01-01,True
Paul,Allen,Arellano Mountain 68109,North Sarahborough,65707,Danmark,DK,19650926-2134,+45,897.246.8438x240,1965-09-26,True
Mika,Mäenpää,Ilmattarenbulevardi 534,Maalahti,98358,Finland,FI,19690919-004T,+358,+358 936795507,1969-09-19,True
Christine,Andersson,Ringgatan 15,Skellefteå,23830,Sverige,SE,19690629-1399,+46,0383-12 31 29,1969-06-29,True
Magne,Nygård,Jørgensenvollen 56A,Adriansjøen,3815,Norge,NO,19740309-8248,+47,89 78 77 30,1974-03-09,True
Jacqueline,Peters,Nichols Points 67209,Lake Jessica,38201,Danmark,DK,19660820-2056,+45,001-778-532-6544,1966-08-20,True
Andrea,Tyler,Thomas Isle 47332,Amandaborough,02036,Danmark,DK,19621006-5008,+45,001-206-348-2249x426,1962-10-06,True
Natalie,Robinson,Lee Roads 669,Lake Kristie,60415,Danmark,DK,19710810-2457,+45,(271)355-9050x61469,1971-08-10,True
Ivar,Jacobsen,Mikkelsenekra 23,Lund,8374,Norge,NO,19850131-3573,+47,58 11 06 56,1985-01-31,True
Mette,Kristensen,Hagentunet 9G,Kristoffersen,1353,Norge,NO,19710124-9502,+47,37306176,1971-01-24,True
Ida,Halvorsen,Christensenbråten 09A,Kjellbø,7115,Norge,NO,19750522-7400,+47,475 90 068,1975-05-22,True
Solveig,Knutsen,Ruudskogen 5C,Pettersen,7937,Norge,NO,19860307-3602,+47,469 65 328,1986-03-07,True
Jenny,Sjödin,Backvägen 7,Lund,93772,Sverige,SE,19900630-4646,+46,098-60 00 86,1990-06-30,True
Erland,Svensson,Trädgårdsgränd 840,Eskilstuna,12067,Sverige,SE,19950811-6580,+46,018-278 35 23,1995-08-11,True
Jennifer,Mcguire,Davies Rest 1041,Port Matthew,04879,Danmark,DK,19840821-8331,+45,(284)566-7827,1984-08-21,True
Ingrid,Svensson,Gengränd 547,Sundsvall,86495,Sverige,SE,19600427-6312,+46,+46 (0)935 796 96,1960-04-27,True
Christina,Perkins,Taylor Plain 352,Carterton,07023,Danmark,DK,19420419-1528,+45,986-640-1991x73540,1942-04-19,True
Erin,Wolf,Wong Station 86509,New Patrick,46358,Danmark,DK,19700215-6334,+45,001-762-539-8425x909,1970-02-15,True
Ronald,Martin,Bishop Shoal 274,Lake Alisonfurt,45528,Danmark,DK,19590109-9466,+45,293-852-0999x10954,1959-01-09,True
Evy,Sjöström,Skogsgränd 550,Växjö,44317,Sverige,SE,19400706-6924,+46,+46 (0)13 90 39 13,1940-07-06,True
Kåre,Larsen,Kristofferseneggen 922,Markussand,2233,Norge,NO,19460111-7201,+47,91462168,1946-01-11,True
Sara,Porter,Emma Villages 6025,West Connorstad,10006,Danmark,DK,19890130-0694,+45,3619087831,1989-01-30,True
Karl,Johansson,Ringtorget 55,Kristianstad,79134,Sverige,SE,19930629-7488,+46,+46 (0)829 809 75,1993-06-29,True
Silje,Aas,Sivertsenstien 28,Magnevåg,8516,Norge,NO,19420111-5746,+47,53 86 89 93,1942-01-11,True
Kaarina,Kyllönen,Edelfeltintie 0,Hattula,09854,Finland,FI,19430114-042R,+358,+358642134918,1943-01-14,True
Ellen,Månsson,Grangatan 2,Lidingö,55072,Sverige,SE,19781108-7159,+46,057-878 46 27,1978-11-08,True
Emil,Karlsson,Kyrkvägen 08,Karlskoga,19891,Sverige,SE,19861124-1873,+46,071-316 50 87,1986-11-24,True
Marit,Myhre,Kristoffersenekra 4,Bakken,0876,Norge,NO,19450130-2002,+47,465 06 276,1945-01-30,True
Gunnar,Pettersson,Kyrkstigen 773,Falun,32804,Sverige,SE,19520304-4176,+46,0016-64 08 52,1952-03-04,True
Kenneth,Jensen,Järnvägsvägen 600,Alingsås,82669,Sverige,SE,19430629-5292,+46,08-979 92 73,1943-06-29,True
Cassidy,Lee,Chang Shoals 5793,Sparksland,16476,Danmark,DK,19911107-9378,+45,001-208-956-0964,1991-11-07,True
Vilhelm,Petersson,Industrivägen 45,Sundsvall,54115,Sverige,SE,19760602-4044,+46,+46 (0)8 750 413 64,1976-06-02,True
Anja,Niskanen,Pohjolankatu 18,Pudasjärvi,82393,Finland,FI,19730401-343M,+358,+358006947543,1973-04-01,True
Siv,Johansson,Trädgårdsgatan 243,Ängelholm,49600,Sverige,SE,19620623-3561,+46,08-92 74 72,1962-06-23,True
Andrew,Cooper,Davis Walks 845,South Jonathontown,72516,Danmark,DK,19621007-1407,+45,001-596-941-0319,1962-10-07,True
Maria,Johnsson,Villavägen 337,Varberg,94696,Sverige,SE,19620126-8291,+46,0183-593 66,1962-01-26,True
Margareta,Jakobsson,Ekgränd 21,Östersund,82782,Sverige,SE,19641112-8226,+46,08-496 900 18,1964-11-12,True
Elise,Berge,Sørensenlyngen 9,Engen,5679,Norge,NO,19930404-3256,+47,467 46 124,1993-04-04,True
Artur,Lundberg,Ringvägen 502,Borlänge,25577,Sverige,SE,19521212-4466,+46,+46 (0)911 857 91,1952-12-12,True
Ulla,Andersson,Bäckgatan 196,Stockholm,24245,Sverige,SE,19810606-4067,+46,+46 (0)8 627 242 16,1981-06-06,True
Margareta,Nilsson,Gentorget 3,Lund,48115,Sverige,SE,19560917-4492,+46,08-84 18 27,1956-09-17,True
Jonathan,Forsberg,Granvägen 819,Lidköping,37071,Sverige,SE,19830503-1497,+46,045-213 56 54,1983-05-03,True
Marianne,Lindblad,Strandgränd 96,Kristianstad,80083,Sverige,SE,19501204-5715,+46,08-997 760 69,1950-12-04,True
Seth,Wood,Denise Extensions 5926,New Kayla,14611,Danmarj,DK,19620326-2563,+45,847.840.2101x46051,1962-03-26,True
Inger,Olsson,Skolgränd 0,Uddevalla,80926,Sverige,SE,19580327-3071,+46,08-781 581 17,1958-03-27,True
Kari,Smith,Vickie Roads 60543,Lake Kathrynshire,26141,Danmark,DK,19721130-8653,+45,6856462191,1972-11-30,True
Monica,Gustafsson,Björkvägen 6,Borås,46002,Sverige,SE,19580213-4065,+46,+46 (0)8 738 138 20,1958-02-13,True
Terje,Eliassen,Pedersenvollen 96,Åsevåg,1209,Norge,NO,19980716-9859,+47,498 28 088,1998-07-16,True
Thomas,Murphy,Casey Village 75134,Anthonyton,81399,Danmark,DK,19490811-0259,+45,001-592-260-6325x5382,1949-08-11,True
Christer,Svensson,Furugränd 6,Uddevalla,51037,Sverige,SE,19821021-2615,+46,+46 (0)490 597 34,1982-10-21,True
Eivind,Thomassen,Moenekra 26C,Lindaodden,4306,Norge,NO,19521216-2511,+47,+47 01 50 41 71,1952-12-16,True
Gösta,Danielsson,Trädgårdsgatan 27,Eskilstuna,23355,Sverige,SE,19930317-5050,+46,08-460 42 62,1993-03-17,True
Rolf,Aas,Jacobsenlunden 8,Andreaberg,0803,Norge,NO,19950205-8582,+47,496 88 620,1995-02-05,True
Hege,Jakobsen,Mikkelsenstien 81,Gulbrandsen,6034,Norge,NO,19740604-8735,+47,490 42 846,1974-06-04,True
Laila,Christensen,Brekkegrenda 61,Adrianfjord,7939,Norge,NO,19490415-3527,+47,902 58 379,1949-04-15,True
Elisabeth,Henriksson,Backvägen 530,Linköping,93755,Sverige,SE,19570908-8191,+46,08-96 47 62,1957-09-08,True
Anita,Nordström,Kvarngatan 3,Östersund,74155,Sverige,SE,19500831-6286,+46,029-72 92 73,1950-08-31,True
Erik,Nilsson,Fabrikstorget 3,Alingsås,88626,Sverige,SE,19440621-7533,+46,0348-72 10 09,1944-06-21,True
Cassandra,Gardner,Brittany Stravenue 653,Davidtown,70053,Danmark,DK,19901114-6225,+45,297-407-2583,1990-11-14,True
Pierre,Olsson,Trädgårdstorget 68,Nyköping,65923,Sverige,SE,19900426-7685,+46,08-034 608 11,1990-04-26,True
Dag,Dahl,Bøegata 4,Olavborg,7998,Norge,NO,19540921-9087,47,929 42 250,1954-09-21,True
Line,Jacobsen,Knutsentunet 50,Berntsen,6108,Norge,NO,19980211-9395,+47,+4786279463,1998-02-11,True
Peter,Johansson,Stationstorget 7,Trelleborg,95155,Sverige,SE,19730304-6466,+46,0173-643 71,1973-03-04,True
Catharina,Johansson,Skolvägen 2,Trelleborg,95540,Sverige,SE,19560216-2903,+46,0320-34 11 96,1956-02-16,True
Kristina,Lindgren,Fabrikstorget 261,Uppsala,36184,Sverige,SE,19701223-2833,+46,08-914 43 74,1970-12-23,True
Kristine,Villarreal,Kelly Canyon 89280,Lake Jenniferfort,30378,Danmark,DK,19460927-6658,+45,+1-413-729-9375x7029,1946-09-27,True
Monica,Larsson,Parkgränd 9,Göteborg,84956,Sverige,SE,19430223-5142,+46,+46 (0)8 115 446 19,1943-02-23,True
Maren,Andresen,Ødegårdhøgda 3,Stianfjord,5811,Norge,NO,19991007-1066,+47,473 70 916,1999-10-07,True
Aada,Eskola,Porekatu 632,Iisalmi,54658,Norge,FI,19871017-082L,+358,(+358) 520526580,1987-10-17,True
Kristina,Andersson,Ängsvägen 0,Karlskrona,61367,Sverige,SE,19460624-5514,+46,0149-286 71,1946-06-24,True
Birgitta,Sandström,Stationsstigen 121,Trelleborg,37080,Sverige,SE,19640420-8565,+46,094-19 43 70,1964-04-20,True
Karoline,Tangen,Jensenengen 3,Lund,4079,Norge,NO,19990625-8964,+47,995 68 359,1999-06-25,True
Karin,Nilsson,Idrottsgatan 97,Halmstad,41522,Sverige,SE,19450429-5010,+46,0433-986 80,1945-04-29,True
Helen,Bergqvist,Ängsvägen 102,Uppsala,88594,Sverige,SE,19640909-9842,+46,+46 (0)501 716 91,1964-09-09,True
Dave,Strickland,Jessica Flat 5853,Davidtown,98581,Danmark,DK,19501011-3231,+45,001-630-893-0834,1950-10-11,True
Debbie,Mueller,Rush Hills 199,Joelstad,24997,Danmark,DK,19670725-4704,+45,855-620-1541x41416,1967-07-25,True
Seija,Lappalainen,Rapakivenbulevardi 343,Pyhäntä,42799,Finland,FI,19510425-031C,+358,+358 568060477,1951-04-25,True
Lena,Ottosson,Industrivägen 81,Umeå,17734,Sverige,SE,19630410-6224,+46,+46 (0)8 288 993 30,1963-04-10,True
Sigrid,Madsen,Thorsenskrenten 7,Anettestrøm,4971,Norge,NO,19930323-0227,+47,487 06 805,1993-03-23,True
Catharina,Andersson,Åkergatan 710,Linköping,12334,Sverige,SE,19450818-3648,+46,+46 (0)957 970 09,1945-08-18,True
Unni,Eriksen,Alihøgda 8,Hansmark,4313,Norge,NO,19930709-1751,+47,970 82 340,1993-07-09,True
Sara,Zimmerman,Martin Field 7848,Jacobland,74569,Danmark,DK,19790522-0665,+45,(565)205-9674x094,1979-05-22,True
Hanne,Andersen,Larsenhavna 5,Eivindstrøm,6309,Norge,NO,19941012-9235,+47,30 35 15 06,1994-10-12,True
Björn,Bengtsson,Industrigränd 5,Uppsala,57624,Sverige,SE,19540915-5373,+46,08-94 34 40,1954-09-15,True
Amanda,Wilson,Jones Knolls 21878,Sandrashire,17842,Danmark,DK,19540410-6833,+45,+1-625-395-6339x287,1954-04-10,True
Tapani,Malinen,Betleheminpolku 4,Honkajoki,79655,Finland,FI,19710130-139U,+358,+358 281171005,1971-01-30,True
Ulla,Johansson,Järnvägsgränd 0,Jönköping,48372,Sverige,SE,19720203-6173,+46,+46 (0)76 01 24 49,1972-02-03,True
Angelica,Larsson,Stationsgränd 5,Södertälje,65042,Sverige,SE,19521027-1163,+46,08-307 60 21,1952-10-27,True
Theresa,Miller,Jason Trail 5534,Lake Amandachester,62616,Danmark,DK,19670513-0288,+45,+1-819-922-0725,1967-05-13,True
Kurt,Borg,Grangatan 2,Malmö,31364,Sverige,SE,19830808-8691,+46,+46 (0)8 776 411 02,1983-08-08,True
Eva,Norman,Skogstorget 5,Luleå,83608,Sverige,SE,19470123-6512,+46,069-356 62 12,1947-01-23,True
Stian,Mikkelsen,Pettersenstykket 9,Marieås,0449,Norge,NO,19991106-3665,+47,19881992,1999-11-06,True
Lars,Johansson,Storgränd 405,Trelleborg,77101,Sverige,SE,19640503-4161,+46,+46 (0)8 754 115 66,1964-05-03,True
Marcus,Moore,Karen Manors 8723,North Williamstad,16800,Danmark,DK,19960703-8223,+45,552.213.1752x469,1996-07-03,True
Anita,Peltola,Gyldénintie 34,Mänttä-Vilppula,01532,Finland,FI,19490110-677N,+358,073 448 5169,1949-01-10,True
Emma,Andersson,Kyrkgränd 738,Östersund,87595,Sverige,SE,19911116-1619,+46,078-44 50 76,1991-11-16,True
Tammy,Moran,Nelson Road 6569,West Maryside,48484,Danmark,DK,19820204-8590,+45,(736)594-0885,1982-02-04,True
Finn,Arnesen,Olsenhavna 5B,Kirstenvåg,2036,Norge,NO,19410519-5060,+47,404 75 767,1941-05-19,True
Ivan,Morales,Richard Common 08192,Taraland,95847,Danmark,DK,19531128-7071,+45,377.224.3943,1953-11-28,True
Emil,Knutsson,Skogsvägen 9,Sandviken,31986,Sverige,SE,19771009-4055,+46,0885-340 61,1977-10-09,True
Mary,Murphy,Wendy Mews 770,Dannyberg,06875,Danmark,DK,19560610-8725,+45,634-409-6178x318,1956-06-10,True
Kenneth,Magnusson,Strandvägen 9,Norrköping,93485,Sverige,SE,19810228-6296,+46,0255-102 51,1981-02-28,True
Ann,Simonsen,Isaksenberget 61,Pålgrunn,5641,Norge,NO,19460120-6710,+47,95256204,1946-01-20,True
Marjaana,Kinnunen,Gneissikatu 87,Kurikka,07976,Finland,FI,19761226-287S,+358,0968871542,1976-12-26,True
Frode,Tveit,Sætherhagen 67,Hauge,9843,Norge,NO,19590422-8543,+47,72 54 60 84,1959-04-22,True
Katarina,Johansson,Åkerstigen 135,Kristianstad,96464,Sverige,SE,19991204-6629,+46,08-024 66 94,1999-12-04,True
